,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,900.0,951.0,896.0,948.0,"(21.974648, 100.762224, 551.0)","(25.110313, 102.936743, 2093.0)","[(21.974648, 100.762224, 551.0), (22.8461, 101.3523, 3595.090909090909), (23.2431, 101.6251, 6339.181818181819), (23.8495, 102.2482, 6866.0), (24.2279, 102.4975, 6005.0), (25.0186, 103.0663, 4153.0), (25.110313, 102.936743, 2093.0)]","[278.8451474533177, 660.1112713476823, 783.878568225399, 788.84451084132, 696.597119956051, 310.3650534457653]"
1,900.0,987.0,889.0,973.0,"(36.515202, 103.620003, 1948.0)","(40.849658, 111.824598, 1076.0)","[(36.515202, 103.620003, 1948.0), (37.9631, 106.1352, 4158.896551724138), (38.9278, 107.9248, 6069.793103448275), (39.4384, 108.9138, 6866.0), (40.49, 110.7725, 6187.5), (40.6425, 111.6172, 4320.666666666667), (40.849658, 111.824598, 1076.0)]","[356.39411371204454, 854.3542496619281, 1066.7032830186868, 1167.3745488128002, 1009.9484493161409, 411.3170475721438]"
2,900.0,988.0,906.0,984.0,"(28.189199, 113.220001, 66.0)","(31.1434, 121.805, 5.0)","[(28.189199, 113.220001, 66.0), (28.181, 113.75, 5814.0), (28.1979, 115.3295, 8100.0), (28.8311, 117.2078, 8866.0), (29.885, 119.4977, 8019.8), (30.5316, 120.6607, 4162.4), (31.1434, 121.805, 5.0)]","[462.26420719212456, 1026.135002499746, 1012.677195, 1039.5928772208274, 752.787077061271, 301.3224238423053]"
3,900.0,993.0,892.0,1003.0,"(31.49440002, 120.4290009, 6.0)","(28.189199, 113.220001, 66.0)","[(31.49440002, 120.4290009, 6.0), (30.4517, 118.0064, 3088.9411764705883), (29.5308, 115.9882, 6057.411764705882), (30.6141, 114.6213, 6614.0), (30.3114, 114.0212, 6614.0), (29.0983, 113.7451, 6287.0), (28.0394, 113.4988, 1661.0), (28.189199, 113.220001, 66.0)]","[307.8979087111266, 721.839973234709, 854.8599206936908, 868.8327728821173, 904.2953350405711, 754.1704885697834, 277.7900702412212]"
4,900.0,998.0,892.0,984.0,"(28.189199, 113.220001, 66.0)","(30.31252, 104.441284, 438.0)","[(28.189199, 113.220001, 66.0), (28.3271, 113.08, 2979.0), (28.5951, 112.1698, 7193.0), (29.0535, 110.4112, 7193.0), (29.5092, 108.4198, 7193.0), (30.3062, 105.881, 7178.0), (30.1622, 104.582, 2362.0), (30.31252, 104.441284, 438.0)]","[235.58481269197245, 551.2080553369867, 632.105713718282, 647.181267050361, 669.7295039857333, 587.4518726742134, 248.42116466557349]"
5,900.0,999.0,887.0,985.0,"(28.864815, 115.90271, 43.0)","(34.447102, 108.751999, 486.0)","[(28.864815, 115.90271, 43.0), (30.1365, 115.3232, 6614.0), (31.5327, 113.7819, 7384.0), (32.4057, 112.674, 7803.0), (33.367, 110.8793, 7156.5), (34.1968, 109.1066, 3631.0), (34.447102, 108.751999, 486.0)]","[366.1593930315753, 761.6470869613107, 782.4689109755889, 719.4955895665523, 587.5817166956069, 255.06734417490804]"
6,900.0,1000.0,902.0,1007.0,"(31.1434, 121.805, 5.0)","(28.189199, 113.220001, 66.0)","[(31.1434, 121.805, 5.0), (30.3261, 119.2002, 4226.448275862069), (29.6732, 117.2643, 8147.896551724139), (28.834, 116.8981, 8405.0), (28.5724, 116.1681, 8420.0), (28.4305, 115.5257, 8001.0), (28.0998, 113.7082, 3185.0), (28.189199, 113.220001, 66.0)]","[328.6854821015874, 777.5388229394995, 914.8735186381563, 927.8229784258255, 855.0732221628914, 697.9759224067005, 304.7055008693904]"
7,900.0,1005.0,903.0,1004.0,"(29.712254, 106.651895, 417.0)","(30.23609, 120.428865, 7.0)","[(29.712254, 106.651895, 417.0), (29.9511, 109.6059, 5323.615384615385), (30.1044, 112.3211, 10314.115384615385), (31.103, 115.1992, 9677.0), (30.8026, 117.3072, 10151.105263157897), (30.4736, 119.151, 5229.052631578947), (30.23609, 120.428865, 7.0)]","[510.2551951995845, 1299.344093675144, 1037.8629314965558, 1421.1886783999719, 1002.6230079554889, 400.7008413817975]"
8,900.0,1006.0,913.0,1018.0,"(23.392401, 113.299004, 8.0)","(31.1434, 121.805, 5.0)","[(23.392401, 113.299004, 8.0), (23.8721, 114.51, 7460.0), (24.6821, 114.9486, 10074.0), (27.4029, 116.9196, 10089.0), (29.4323, 119.4609, 10097.0), (30.5215, 120.9295, 5201.0), (31.1434, 121.805, 5.0)]","[441.4001099549028, 926.7531969603997, 1065.1583161835472, 994.2922839027807, 688.8710397604922, 274.3839850357619]"
9,900.0,1012.0,890.0,1007.0,"(36.361953, 120.088171, 7.0)","(45.623402, 126.25, 136.0)","[(36.361953, 120.088171, 7.0), (38.5873, 121.4007, 4017.633333333333), (40.5498, 122.6354, 8013.7), (40.6768, 123.7361, 8870.0), (42.375, 124.5718, 8870.0), (44.3356, 126.0899, 8031.0), (45.5174, 126.2485, 2240.0), (45.623402, 126.25, 136.0)]","[321.6217121491397, 800.7845663617717, 999.0834557563535, 1019.3681391072416, 951.3785219822934, 668.8978508322109, 216.96686641343766]"
