,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
0,600.0,651.0,581.0,634.0,"(22.006399, 113.375999, 0.0)","(19.9349, 110.459, 22.0)","[(22.006399, 113.375999, 0.0), (22.0778, 113.1, 4458.0), (21.7661, 112.4974, 7102.0), (21.3286, 111.8599, 7193.0), (20.7061, 111.2296, 7193.0), (20.396, 110.9184, 4069.818181818182), (19.9349, 110.459, 22.0)]","[350.7814233441797, 723.3234808908519, 707.5106198804368, 594.7901342417143, 472.6762747997651, 212.85470289181535]"
1,600.0,674.0,603.0,675.0,"(30.774798, 114.213723, 37.0)","(27.912201, 120.851997, 5.0)","[(30.774798, 114.213723, 37.0), (30.7798, 114.6131, 3281.666666666667), (30.6107, 115.0185, 6149.0), (29.8003, 116.4494, 6888.0), (28.7282, 117.9638, 6029.347826086956), (28.3793, 119.2305, 3167.1739130434785), (27.912201, 120.851997, 5.0)]","[374.3508259516142, 870.8160924542898, 1005.1419770604572, 970.0621440846351, 779.1464094728657, 317.76097594601214]"
2,600.0,678.0,609.0,679.0,"(24.54400063, 118.1279984, 12.0)","(31.198104, 121.33426, 2.0)","[(24.54400063, 118.1279984, 12.0), (25.3375, 118.9241, 6789.0), (26.7994, 119.9548, 8024.0), (27.5452, 120.3633, 8108.0), (28.6425, 120.7172, 8108.0), (30.0549, 121.0296, 4377.0), (31.198104, 121.33426, 2.0)]","[517.9602324452466, 1055.540170664934, 1083.9887440378739, 1056.5211559536563, 864.3881801196645, 354.2758299841945]"
3,600.0,679.0,634.0,708.0,"(22.639299, 113.810997, -1.0)","(27.912201, 120.851997, 5.0)","[(22.639299, 113.810997, -1.0), (23.2146, 113.9977, 5814.0), (24.3457, 114.9383, 10081.0), (24.7408, 115.503, 10081.0), (25.2619, 116.2493, 10089.0), (25.9482, 117.1948, 10043.0), (26.9073, 118.7768, 6873.0), (27.912201, 120.851997, 5.0)]","[412.3813398045092, 961.2880211315996, 1092.2027321806502, 1088.462311864963, 1093.137837259572, 1048.2527934713262, 500.28121722315746]"
4,600.0,686.0,593.0,673.0,"(24.54400063, 118.1279984, 12.0)","(31.919701, 119.778999, 7.0)","[(24.54400063, 118.1279984, 12.0), (25.3091, 118.8939, 6309.0), (26.3969, 119.5643, 7003.0), (27.8133, 119.6534, 7498.0), (30.0821, 119.7264, 7106.055555555556), (31.0267, 119.753, 3906.5), (31.919701, 119.778999, 7.0)]","[520.3305202852905, 1045.6932506313672, 1006.4420121572349, 846.4976720310901, 635.1840200007807, 269.76562978084877]"
5,600.0,691.0,611.0,696.0,"(34.447102, 108.751999, 486.0)","(26.541466, 106.803331, 1127.0)","[(34.447102, 108.751999, 486.0), (33.5392, 108.7212, 7343.692307692308), (32.3516, 108.3747, 9046.307692307691), (30.6181, 107.1031, 9780.0), (28.5786, 106.8493, 9333.888888888889), (27.2834, 106.8182, 5613.0), (26.541466, 106.803331, 1127.0)]","[452.7064094823047, 885.9714394162896, 868.8445098141982, 821.6090628399963, 667.2901534146631, 281.26057045488]"
6,600.0,699.0,590.0,685.0,"(29.712254, 106.651895, 417.0)","(22.006399, 113.375999, 0.0)","[(29.712254, 106.651895, 417.0), (26.5998, 109.5065, 4478.799999999999), (25.075, 110.8323, 8240.599999999999), (24.8423, 111.0307, 8778.0), (23.5853, 111.8932, 8199.0), (22.5103, 112.8426, 3490.0), (22.006399, 113.375999, 0.0)]","[455.6148476379555, 1128.4771798725349, 1376.760019411534, 1400.99542189988, 1209.0904212425887, 511.992686519663]"
7,600.0,700.0,599.0,707.0,"(25.110313, 102.936743, 2093.0)","(22.639299, 113.810997, -1.0)","[(25.110313, 102.936743, 2093.0), (24.8027, 103.0069, 5029.0), (24.4231, 103.5717, 8085.0), (24.1751, 104.9835, 8459.692307692309), (23.7466, 107.9713, 8870.0), (23.4665, 109.572, 8031.555555555556), (22.1721, 113.1159, 2751.0), (22.639299, 113.810997, -1.0)]","[329.27826667132126, 781.4090846134145, 906.3188214627659, 908.8260163866593, 885.7826807043805, 683.5356235103202, 252.3909556719264]"
8,600.0,702.0,598.0,702.0,"(34.526497, 113.849165, 146.0)","(29.712254, 106.651895, 417.0)","[(34.526497, 113.849165, 146.0), (34.189, 113.5476, 2758.0), (34.0622, 112.6455, 6416.0), (32.5967, 110.5098, 6416.0), (31.2002, 108.5833, 6059.8125), (30.6092, 107.7965, 3566.5), (29.712254, 106.651895, 417.0)]","[363.2297868435752, 826.4310746532719, 833.0805101869839, 641.2518201314753, 506.45328117355035, 235.0806834193622]"
9,600.0,704.0,583.0,675.0,"(30.774798, 114.213723, 37.0)","(24.54400063, 118.1279984, 12.0)","[(30.774798, 114.213723, 37.0), (30.8279, 114.2536, 686.0), (30.8276, 114.9733, 6309.0), (28.9296, 115.8287, 6888.0), (27.7419, 116.407, 6888.0), (25.8538, 117.8891, 6104.0), (24.8517, 117.9884, 3078.0), (24.54400063, 118.1279984, 12.0)]","[135.6204432817344, 468.1972087163393, 671.2871187563235, 689.6259269844612, 665.0915754360067, 509.7693043956649, 195.59330262240084]"
